Email Address,Section,First Name,Last Name,SID,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
ricardo.price@univ.edu,3,Ricardo,Price,rxp56459,77.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,67,80,2019-09-12 08:56:02-07:00,67,100,2019-09-19 08:56:02-07:00,67,70,2019-09-26 08:56:02-07:00,58,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,60,70,2019-10-17 08:56:02-07:00,38,60,2019-10-24 08:56:02-07:00,55,60,2019-10-31 08:56:02-07:00,68,100,2019-10-08 12:30:07-07:00,92,100,2019-11-08 12:30:07-07:00,75,100,2019-12-08 12:30:07-07:00,10,12,8,14,12,0.68,0.92,0.75,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.8115942028985508,0.8359358288770053,0.8359358288770053,0.8182299550123078,82.0,B
robert.douglas@univ.edu,2,Robert,Douglas,rxd29805,57.0,80,2019-08-29 08:56:02-07:00,53,80,2019-09-05 08:56:02-07:00,73,80,2019-09-12 08:56:02-07:00,78,100,2019-09-19 08:56:02-07:00,42,70,2019-09-26 08:56:02-07:00,83,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,69,70,2019-10-17 08:56:02-07:00,44,60,2019-10-24 08:56:02-07:00,39,60,2019-10-31 08:56:02-07:00,86,100,2019-10-08 12:30:07-07:00,67,100,2019-11-08 12:30:07-07:00,87,100,2019-12-08 12:30:07-07:00,8,9,13,10,8,0.86,0.67,0.87,0.7824324324324324,0.7778769841269841,0.7824324324324324,0.6956521739130435,0.6945861981156098,0.6956521739130435,0.7621686251468861,77.0,C
amy.white@univ.edu,3,Amy,White,alw07647,71.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,72,80,2019-09-12 08:56:02-07:00,95,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,40,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,47,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,99,100,2019-10-08 12:30:07-07:00,95,100,2019-11-08 12:30:07-07:00,99,100,2019-12-08 12:30:07-07:00,7,14,15,11,4,0.99,0.95,0.99,0.8378378378378378,0.8249404761904762,0.8378378378378378,0.7391304347826086,0.7142195059842119,0.7391304347826086,0.8498742655699177,85.0,B
emily.houston@univ.edu,1,Emily,Houston,edh14938,54.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,56,80,2019-09-12 08:56:02-07:00,71,100,2019-09-19 08:56:02-07:00,56,70,2019-09-26 08:56:02-07:00,71,90,2019-10-03 08:56:02-07:00,46,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,52,60,2019-10-24 08:56:02-07:00,40,60,2019-10-31 08:56:02-07:00,100,100,2019-10-08 12:30:07-07:00,78,100,2019-11-08 12:30:07-07:00,87,100,2019-12-08 12:30:07-07:00,8,9,17,5,11,1.0,0.78,0.87,0.7581081081081081,0.7662936507936509,0.7662936507936509,0.7246376811594203,0.7202164502164502,0.7246376811594203,0.7824087646652864,79.0,C
richard.bennett@univ.edu,1,Richard,Bennett,rjb91830,76.0,80,2019-08-29 08:56:02-07:00,75,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,68,100,2019-09-19 08:56:02-07:00,49,70,2019-09-26 08:56:02-07:00,80,90,2019-10-03 08:56:02-07:00,34,50,2019-10-10 08:56:02-07:00,45,70,2019-10-17 08:56:02-07:00,57,60,2019-10-24 08:56:02-07:00,53,60,2019-10-31 08:56:02-07:00,66,100,2019-10-08 12:30:07-07:00,97,100,2019-11-08 12:30:07-07:00,88,100,2019-12-08 12:30:07-07:00,10,6,9,8,10,0.66,0.97,0.88,0.8297297297297297,0.8275079365079365,0.8297297297297297,0.6231884057971014,0.6486529157117393,0.6486529157117393,0.7884877666054136,79.0,C
felicia.simpson@univ.edu,3,Felicia,Simpson,fxs77894,59.0,80,2019-08-29 08:56:02-07:00,66,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,73,100,2019-09-19 08:56:02-07:00,60,70,2019-09-26 08:56:02-07:00,90,90,2019-10-03 08:56:02-07:00,36,50,2019-10-10 08:56:02-07:00,63,70,2019-10-17 08:56:02-07:00,53,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,63,100,2019-10-08 12:30:07-07:00,90,100,2019-11-08 12:30:07-07:00,99,100,2019-12-08 12:30:07-07:00,11,7,13,9,12,0.63,0.9,0.99,0.8351351351351352,0.8298809523809524,0.8351351351351352,0.7536231884057971,0.7748459383753501,0.7748459383753501,0.8365078355666591,84.0,B
brooke.powers@univ.edu,1,Brooke,Powers,bdp78944,80.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,53,80,2019-09-12 08:56:02-07:00,66,100,2019-09-19 08:56:02-07:00,46,70,2019-09-26 08:56:02-07:00,85,90,2019-10-03 08:56:02-07:00,45,50,2019-10-10 08:56:02-07:00,54,70,2019-10-17 08:56:02-07:00,44,60,2019-10-24 08:56:02-07:00,57,60,2019-10-31 08:56:02-07:00,77,100,2019-10-08 12:30:07-07:00,87,100,2019-11-08 12:30:07-07:00,90,100,2019-12-08 12:30:07-07:00,6,10,17,10,8,0.77,0.87,0.9,0.7972972972972973,0.8028849206349207,0.8028849206349207,0.7391304347826086,0.7186147186147186,0.7391304347826086,0.8033930986887509,81.0,B
stephen.miller@univ.edu,2,Stephen,Miller,sem28474,50.0,80,2019-08-29 08:56:02-07:00,48,80,2019-09-05 08:56:02-07:00,63,80,2019-09-12 08:56:02-07:00,77,100,2019-09-19 08:56:02-07:00,57,70,2019-09-26 08:56:02-07:00,81,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,69,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,72,100,2019-10-08 12:30:07-07:00,70,100,2019-11-08 12:30:07-07:00,97,100,2019-12-08 12:30:07-07:00,8,10,7,13,4,0.72,0.7,0.97,0.7972972972972973,0.80625,0.80625,0.6086956521739131,0.6135217723453018,0.6135217723453018,0.7580565317035906,76.0,C
benjamin.graham@univ.edu,2,Benjamin,Graham,bjg14618,64.0,80,2019-08-29 08:56:02-07:00,52,80,2019-09-05 08:56:02-07:00,58,80,2019-09-12 08:56:02-07:00,87,100,2019-09-19 08:56:02-07:00,60,70,2019-09-26 08:56:02-07:00,89,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,45,70,2019-10-17 08:56:02-07:00,50,60,2019-10-24 08:56:02-07:00,37,60,2019-10-31 08:56:02-07:00,81,100,2019-10-08 12:30:07-07:00,73,100,2019-11-08 12:30:07-07:00,81,100,2019-12-08 12:30:07-07:00,7,15,6,6,7,0.81,0.73,0.81,0.7878378378378378,0.780388888888889,0.7878378378378378,0.5942028985507246,0.6002419149477973,0.6002419149477973,0.7302077096194743,74.0,C
heidi.glover@univ.edu,2,Heidi,Glover,hxg56446,65.0,80,2019-08-29 08:56:02-07:00,52,80,2019-09-05 08:56:02-07:00,60,80,2019-09-12 08:56:02-07:00,65,100,2019-09-19 08:56:02-07:00,45,70,2019-09-26 08:56:02-07:00,81,90,2019-10-03 08:56:02-07:00,47,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,51,60,2019-10-24 08:56:02-07:00,48,60,2019-10-31 08:56:02-07:00,60,100,2019-10-08 12:30:07-07:00,83,100,2019-11-08 12:30:07-07:00,83,100,2019-12-08 12:30:07-07:00,4,14,10,7,9,0.6,0.83,0.83,0.7527027027027027,0.7609642857142856,0.7609642857142856,0.6376811594202898,0.6270409982174688,0.6376811594202898,0.7331900621118013,74.0,C
sherry.rogers@univ.edu,2,Sherry,Rogers,sbr74322,58.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,49,80,2019-09-12 08:56:02-07:00,68,100,2019-09-19 08:56:02-07:00,50,70,2019-09-26 08:56:02-07:00,75,90,2019-10-03 08:56:02-07:00,33,50,2019-10-10 08:56:02-07:00,44,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,56,60,2019-10-31 08:56:02-07:00,63,100,2019-10-08 12:30:07-07:00,92,100,2019-11-08 12:30:07-07:00,80,100,2019-12-08 12:30:07-07:00,4,12,17,9,11,0.63,0.92,0.8,0.7405405405405405,0.7453690476190478,0.7453690476190478,0.7681159420289855,0.7446320346320345,0.7681159420289855,0.7720824016563148,78.0,C
steven.roberts@univ.edu,2,Steven,Roberts,skr62062,56.0,80,2019-08-29 08:56:02-07:00,75,80,2019-09-05 08:56:02-07:00,76,80,2019-09-12 08:56:02-07:00,92,100,2019-09-19 08:56:02-07:00,59,70,2019-09-26 08:56:02-07:00,74,90,2019-10-03 08:56:02-07:00,38,50,2019-10-10 08:56:02-07:00,60,70,2019-10-17 08:56:02-07:00,59,60,2019-10-24 08:56:02-07:00,49,60,2019-10-31 08:56:02-07:00,70,100,2019-10-08 12:30:07-07:00,80,100,2019-11-08 12:30:07-07:00,67,100,2019-12-08 12:30:07-07:00,8,14,8,9,8,0.7,0.8,0.67,0.8621621621621621,0.8589722222222221,0.8621621621621621,0.6811594202898551,0.6881436210847975,0.6881436210847975,0.7668079511903042,77.0,C
joseph.young@univ.edu,1,Joseph,Young,jty40106,51.0,80,2019-08-29 08:56:02-07:00,69,80,2019-09-05 08:56:02-07:00,60,80,2019-09-12 08:56:02-07:00,68,100,2019-09-19 08:56:02-07:00,67,70,2019-09-26 08:56:02-07:00,63,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,42,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,49,60,2019-10-31 08:56:02-07:00,72,100,2019-10-08 12:30:07-07:00,68,100,2019-11-08 12:30:07-07:00,96,100,2019-12-08 12:30:07-07:00,8,14,12,11,10,0.72,0.68,0.96,0.7743243243243243,0.790047619047619,0.790047619047619,0.7971014492753623,0.7971072065189713,0.7971072065189713,0.8031512095747391,81.0,B
cynthia.guzman@univ.edu,1,Cynthia,Guzman,cxg21963,63.0,80,2019-08-29 08:56:02-07:00,68,80,2019-09-05 08:56:02-07:00,48,80,2019-09-12 08:56:02-07:00,67,100,2019-09-19 08:56:02-07:00,55,70,2019-09-26 08:56:02-07:00,54,90,2019-10-03 08:56:02-07:00,38,50,2019-10-10 08:56:02-07:00,51,70,2019-10-17 08:56:02-07:00,57,60,2019-10-24 08:56:02-07:00,47,60,2019-10-31 08:56:02-07:00,64,100,2019-10-08 12:30:07-07:00,74,100,2019-11-08 12:30:07-07:00,66,100,2019-12-08 12:30:07-07:00,6,15,14,10,7,0.64,0.74,0.66,0.7405405405405405,0.7515119047619047,0.7515119047619047,0.7536231884057971,0.7333206009676598,0.7536231884057971,0.731691718426501,74.0,C
desiree.delgado@univ.edu,2,Desiree,Delgado,djd31335,69.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,74,80,2019-09-12 08:56:02-07:00,64,100,2019-09-19 08:56:02-07:00,60,70,2019-09-26 08:56:02-07:00,55,90,2019-10-03 08:56:02-07:00,31,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,55,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,88,100,2019-10-08 12:30:07-07:00,69,100,2019-11-08 12:30:07-07:00,78,100,2019-12-08 12:30:07-07:00,4,7,9,8,4,0.88,0.69,0.78,0.7945945945945946,0.7993134920634921,0.7993134920634921,0.463768115942029,0.4528953399541635,0.463768115942029,0.6888558316080055,69.0,D
tamara.warren@univ.edu,1,Tamara,Warren,tsw14969,74.0,80,2019-08-29 08:56:02-07:00,53,80,2019-09-05 08:56:02-07:00,48,80,2019-09-12 08:56:02-07:00,92,100,2019-09-19 08:56:02-07:00,57,70,2019-09-26 08:56:02-07:00,58,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,54,70,2019-10-17 08:56:02-07:00,56,60,2019-10-24 08:56:02-07:00,52,60,2019-10-31 08:56:02-07:00,77,100,2019-10-08 12:30:07-07:00,80,100,2019-11-08 12:30:07-07:00,99,100,2019-12-08 12:30:07-07:00,10,14,16,7,11,0.77,0.8,0.99,0.7945945945945946,0.8017658730158731,0.8017658730158731,0.8405797101449275,0.8400534759358289,0.8405797101449275,0.8398802622498275,84.0,B
john.harris@univ.edu,1,John,Harris,jlh15029,74.0,80,2019-08-29 08:56:02-07:00,77,80,2019-09-05 08:56:02-07:00,53,80,2019-09-12 08:56:02-07:00,89,100,2019-09-19 08:56:02-07:00,69,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,47,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,39,60,2019-10-24 08:56:02-07:00,60,60,2019-10-31 08:56:02-07:00,91,100,2019-10-08 12:30:07-07:00,90,100,2019-11-08 12:30:07-07:00,95,100,2019-12-08 12:30:07-07:00,9,14,12,6,12,0.91,0.9,0.95,0.8621621621621621,0.8596666666666668,0.8621621621621621,0.7681159420289855,0.7771937866055513,0.7771937866055513,0.8560230008465303,86.0,B
sherry.good@univ.edu,2,Sherry,Good,smg03171,50.0,80,2019-08-29 08:56:02-07:00,48,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,94,100,2019-09-19 08:56:02-07:00,54,70,2019-09-26 08:56:02-07:00,77,90,2019-10-03 08:56:02-07:00,44,50,2019-10-10 08:56:02-07:00,62,70,2019-10-17 08:56:02-07:00,48,60,2019-10-24 08:56:02-07:00,47,60,2019-10-31 08:56:02-07:00,89,100,2019-10-08 12:30:07-07:00,88,100,2019-11-08 12:30:07-07:00,64,100,2019-12-08 12:30:07-07:00,6,12,7,7,9,0.89,0.88,0.64,0.8121621621621622,0.8103531746031747,0.8121621621621622,0.5942028985507246,0.6014438502673797,0.6014438502673797,0.7337980199450789,74.0,C
kelsey.brown@univ.edu,2,Kelsey,Brown,ksb85997,78.0,80,2019-08-29 08:56:02-07:00,68,80,2019-09-05 08:56:02-07:00,52,80,2019-09-12 08:56:02-07:00,80,100,2019-09-19 08:56:02-07:00,51,70,2019-09-26 08:56:02-07:00,70,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,46,70,2019-10-17 08:56:02-07:00,59,60,2019-10-24 08:56:02-07:00,56,60,2019-10-31 08:56:02-07:00,80,100,2019-10-08 12:30:07-07:00,69,100,2019-11-08 12:30:07-07:00,83,100,2019-12-08 12:30:07-07:00,10,15,9,14,4,0.8,0.69,0.83,0.822972972972973,0.8335158730158732,0.8335158730158732,0.7536231884057971,0.754367201426025,0.754367201426025,0.7932165096341568,80.0,B
william.daniel@univ.edu,2,William,Daniel,wad63934,48.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,72,80,2019-09-12 08:56:02-07:00,76,100,2019-09-19 08:56:02-07:00,65,70,2019-09-26 08:56:02-07:00,60,90,2019-10-03 08:56:02-07:00,38,50,2019-10-10 08:56:02-07:00,62,70,2019-10-17 08:56:02-07:00,51,60,2019-10-24 08:56:02-07:00,36,60,2019-10-31 08:56:02-07:00,84,100,2019-10-08 12:30:07-07:00,91,100,2019-11-08 12:30:07-07:00,95,100,2019-12-08 12:30:07-07:00,9,10,10,9,5,0.84,0.91,0.95,0.7675675675675676,0.7700952380952379,0.7700952380952379,0.6231884057971014,0.6265215176979883,0.6265215176979883,0.7714945505474917,78.0,C
mark.lopez@univ.edu,1,Mark,Lopez,msl77920,58.0,80,2019-08-29 08:56:02-07:00,51,80,2019-09-05 08:56:02-07:00,55,80,2019-09-12 08:56:02-07:00,69,100,2019-09-19 08:56:02-07:00,65,70,2019-09-26 08:56:02-07:00,81,90,2019-10-03 08:56:02-07:00,32,50,2019-10-10 08:56:02-07:00,59,70,2019-10-17 08:56:02-07:00,45,60,2019-10-24 08:56:02-07:00,40,60,2019-10-31 08:56:02-07:00,94,100,2019-10-08 12:30:07-07:00,87,100,2019-11-08 12:30:07-07:00,78,100,2019-12-08 12:30:07-07:00,4,15,15,7,9,0.94,0.87,0.78,0.75,0.7468095238095238,0.75,0.7246376811594203,0.6991978609625669,0.7246376811594203,0.7683913043478261,77.0,C
taylor.hernandez@univ.edu,1,Taylor,Hernandez,thh29195,54.0,80,2019-08-29 08:56:02-07:00,52,80,2019-09-05 08:56:02-07:00,53,80,2019-09-12 08:56:02-07:00,67,100,2019-09-19 08:56:02-07:00,56,70,2019-09-26 08:56:02-07:00,77,90,2019-10-03 08:56:02-07:00,33,50,2019-10-10 08:56:02-07:00,57,70,2019-10-17 08:56:02-07:00,52,60,2019-10-24 08:56:02-07:00,46,60,2019-10-31 08:56:02-07:00,92,100,2019-10-08 12:30:07-07:00,83,100,2019-11-08 12:30:07-07:00,98,100,2019-12-08 12:30:07-07:00,11,12,14,5,9,0.92,0.83,0.98,0.7391891891891892,0.7420674603174603,0.7420674603174603,0.7391304347826086,0.7461344537815127,0.7461344537815127,0.7966673202614379,80.0,B
